Issue,Action Taken,Frequency
,,
Load Head Issue,Reset PIC18,14
,Reset VXI,11
,Adjust End Effector reading,9
,Try a few times load/unload head (ok),8
,Reset Dover,4
,Reslot All Module,2
,Change Head,2
,Adjust end effector vacuum setting,2
,Realign preamp,1
,Realign tester,1
,Change door sensor,1
,Reroute Door sensor,1
,Reoptimize MD chc file,1
,Restart SETS,1
,Restart WinEE,1
,,
Isolator error,Reinitialize tester,6
,Reset VXI,4
,Adjust Isolator Air,4
,Check/Adjust Isolator Sensor,3
,Change Isolator Tubing,3
,Change Isolator,2
,Reslot All Module,2
,Reset Piezo,1
,Reset Dover,1
,Redo Touch off,1
,Restart Tester,1
,Swap Mictor Cable,1
,Check/Adjust End Effector reading,1
,Run Lfach Amp Back,1
,Optimize CHC file,1
,,
Disc drop issue,Adjust/Redo DFCD Insert Leveling,17
,Release tester to [Name],12
,Verify/Check DFCD Leveling,5
,"Adjust DFCD Air (Cover Up/Lift, CW/CCW Rotate)",5
,Run Repeat/Debugger Mode (TPI check),4
,Check Engineering Mode (ID/OD),2
,Assist on collecting Vibration data,1
,Change new mouse,1
,Wipe down tester,1
,,
Resistance issue,Reset VXI,6
,Realign/Adjust Preamp Alignment,6
,Initialise,5
,Check/Verify Resistance,5
,Change Head,4
,Release tester to Siti,3
,Change Preamp,3
,Reslot Module,3
,Replace/Change AC Box/Fuse,2
,Adjust End Effector,2
,Redo Touch Off,2
,,
Disk scratch,Redo Insert Leveling,4
,Initialise,3
,Release tester to Akila,2
,Release tester to Eric,1
,Release tester to Anthony,1
,Wipe down Tester,1
,Adjust Insert Leveling,2
,Change Insert,2
,Check/Engineering Mode,3
,Manual Turn Spindle Adapter,1
,Change Head & Disk,1
,Optimise,1
,Run Repeat,2
,Swap PC/Hard Disk,1
,,
dfcd error,Reset PIC 18,9
,Initialise,13
,Reset VXI,5
,Reset Dover,7
,Release tester to Siti,4
,Release tester to Anthony,4
,Release tester to SC,3
,Load/Unload DFCD,11
,Check Engineering Mode,6
,Redo DFCD Insert Leveling,5
,Adjust DFCD,7
,Change DFCD Insert,4
,Try Run/Repeat,5
,,
Low TPI,Redo Insert Leveling,31
