Issue,Action Taken,Frequency,Order
,,,
Load Head Issue,Reset PIC18,14.0,
,Reset VXI,11.0,
,Adjust End Effector reading,9.0,
,Try a few times load/unload head (ok),8.0,
,Reset Dover,4.0,
,Reslot All Module,2.0,
,Change Head,2.0,
,Adjust end effector vacuum setting,2.0,
,Realign preamp,1.0,
,Realign tester,1.0,
,Change door sensor,1.0,
,Reroute Door sensor,1.0,
,Reoptimize MD chc file,1.0,
,Restart SETS,1.0,
,Restart WinEE,1.0,
,,,
Isolator error,Reinitialize tester,6.0,
,Reset VXI,4.0,
,Adjust Isolator Air,4.0,
,Check/Adjust Isolator Sensor,3.0,
,Change Isolator Tubing,3.0,
,Change Isolator,2.0,
,Reslot All Module,2.0,
,Reset Piezo,1.0,
,Reset Dover,1.0,
,Redo Touch off,1.0,
,Restart Tester,1.0,
,Swap Mictor Cable,1.0,
,Check/Adjust End Effector reading,1.0,
,Run Lfach Amp Back,1.0,
,Optimize CHC file,1.0,
,,,
Disc drop issue,Adjust/Redo DFCD Insert Leveling,17.0,
,Release tester to [Name],12.0,
,Verify/Check DFCD Leveling,5.0,
,"Adjust DFCD Air (Cover Up/Lift, CW/CCW Rotate)",5.0,
,Run Repeat/Debugger Mode (TPI check),4.0,
,Check Engineering Mode (ID/OD),2.0,
,Assist on collecting Vibration data,1.0,
,Change new mouse,1.0,
,Wipe down tester,1.0,
,,,
Resistance issue,Reset VXI,6.0,
,Realign/Adjust Preamp Alignment,6.0,
,Initialise,5.0,
,Check/Verify Resistance,5.0,
,Change Head,4.0,
,Release tester to Siti,3.0,
,Change Preamp,3.0,
,Reslot Module,3.0,
,Replace/Change AC Box/Fuse,2.0,
,Adjust End Effector,2.0,
,Redo Touch Off,2.0,
,,,
Disk scratch,Redo Insert Leveling,4.0,
,Initialise,3.0,
,Release tester to Akila,2.0,
,Release tester to Eric,1.0,
,Release tester to Anthony,1.0,
,Wipe down Tester,1.0,
,Adjust Insert Leveling,2.0,
,Change Insert,2.0,
,Check/Engineering Mode,3.0,
,Manual Turn Spindle Adapter,1.0,
,Change Head & Disk,1.0,
,Optimise,1.0,
,Run Repeat,2.0,
,Swap PC/Hard Disk,1.0,
,,,
dfcd error,Reset PIC 18,9.0,
,Initialise,13.0,
,Reset VXI,5.0,
,Reset Dover,7.0,
,Release tester to Siti,4.0,
,Release tester to Anthony,4.0,
,Release tester to SC,3.0,
,Load/Unload DFCD,11.0,
,Check Engineering Mode,6.0,
,Redo DFCD Insert Leveling,5.0,
,Adjust DFCD,7.0,
,Change DFCD Insert,4.0,
,Try Run/Repeat,5.0,
,,,
Low TPI,Redo Insert Leveling,31.0,
,Reset Vxi,17.0,
,Change Head & Disk,14.0,
,Reset Dover,5.0,
,Reset PIC 18,5.0,
,Adjust Preamp Alignment,6.0,
,Release tester to Eric,8.0,
,Release tester to Siti,9.0,
,Check Engineering Mode,4.0,
,Run Repeatability,8.0,
,Change Insert,7.0,
,Optimise Head,5.0,
,Reslot All Module,8.0,
,,,
CSM Issue,Reset Vxi,23.0,
,Change Head & Disk,17.0,
